Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,RPE
2026-04-22 19:52:15,"Entraînement du midi",33min,"Chest Press (Machine)",4,41.0,45.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Chest Press (Machine)",5,36.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Cable)",5,43.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Triceps Extension",1,7.9,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Triceps Extension",2,10.2,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Triceps Extension",3,12.5,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Triceps Extension",4,14.7,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Triceps Extension",5,17.0,6.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Machine)",1,18.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Machine)",2,23.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Machine)",3,27.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Machine)",4,36.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Lat Pulldown (Machine)",5,41.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Seated Row (Cable)",1,32.0,10.0,0,0.0,
